timestamp,channel,segment,value,anomaly_score,predicted_anomaly,anomaly,label,train
2022-06-01T23:42:54.000000Z,CADC0872,1,-2.1487e-05,0.6444659356868055,1,1,anomaly,1
2022-06-01T23:42:55.000000Z,CADC0872,1,-2.05077e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:42:56.000000Z,CADC0872,1,-2.10633e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:42:57.000000Z,CADC0872,1,-2.14833e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:42:58.000000Z,CADC0872,1,-2.14833e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:42:59.000000Z,CADC0872,1,-2.13358e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:00.000000Z,CADC0872,1,-2.07797e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:01.000000Z,CADC0872,1,-2.07745e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:02.000000Z,CADC0872,1,-2.11939e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:03.000000Z,CADC0872,1,-2.07759e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:04.000000Z,CADC0872,1,-2.07759e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:05.000000Z,CADC0872,1,-2.06326e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:06.000000Z,CADC0872,1,-2.10478e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:07.000000Z,CADC0872,1,-2.13286e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:08.000000Z,CADC0872,1,-2.13286e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:09.000000Z,CADC0872,1,-2.13218e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:10.000000Z,CADC0872,1,-2.11828e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:11.000000Z,CADC0872,1,-2.07587e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:12.000000Z,CADC0872,1,-2.09002e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:13.000000Z,CADC0872,1,-2.09002e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:14.000000Z,CADC0872,1,-2.03404e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:15.000000Z,CADC0872,1,-1.97867e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:16.000000Z,CADC0872,1,6.3231e-05,1.0,1,1,anomaly,1
2022-06-01T23:43:17.000000Z,CADC0872,1,6.3231e-05,0.9939857267892009,1,1,anomaly,1
2022-06-01T23:43:18.000000Z,CADC0872,1,-4.80157e-06,1.0,1,1,anomaly,1
2022-06-01T23:43:19.000000Z,CADC0872,1,-4.80157e-06,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:20.000000Z,CADC0872,1,6.44014e-05,1.0,1,1,anomaly,1
2022-06-01T23:43:21.000000Z,CADC0872,1,-1.76886e-05,1.0,1,1,anomaly,1
2022-06-01T23:43:22.000000Z,CADC0872,1,-1.76886e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:23.000000Z,CADC0872,1,-1.76886e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:24.000000Z,CADC0872,1,-1.79601e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:25.000000Z,CADC0872,1,-1.65682e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:26.000000Z,CADC0872,1,-1.67023e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:27.000000Z,CADC0872,1,-1.50371e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:28.000000Z,CADC0872,1,-1.50371e-05,0.5136068994711371,1,1,anomaly,1
2022-06-01T23:43:29.000000Z,CADC0872,1,-1.58691e-05,0.42862283353426034,1,1,anomaly,1
2022-06-01T23:43:30.000000Z,CADC0872,1,-1.51678e-05,0.3922932283813618,1,1,anomaly,1
2022-06-01T23:43:31.000000Z,CADC0872,1,6.2819e-05,1.0,1,1,anomaly,1
2022-06-01T23:43:32.000000Z,CADC0872,1,6.2819e-05,0.9939857267892009,1,1,anomaly,1
2022-06-01T23:43:33.000000Z,CADC0872,1,6.3518e-05,0.9939857267892009,1,1,anomaly,1
2022-06-01T23:43:34.000000Z,CADC0872,1,-1.41858e-05,1.0,1,1,anomaly,1
2022-06-01T23:43:35.000000Z,CADC0872,1,-1.41858e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:36.000000Z,CADC0872,1,-1.21018e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:37.000000Z,CADC0872,1,-1.30694e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:38.000000Z,CADC0872,1,-1.30694e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:39.000000Z,CADC0872,1,-1.16762e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:40.000000Z,CADC0872,1,-1.09843e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:41.000000Z,CADC0872,1,-1.02873e-05,0.9817918525335638,1,1,anomaly,1
2022-06-01T23:43:42.000000Z,CADC0872,1,-1.00055e-05,0.3922932283813618,1,1,anomaly,1
